,group,gene,expression_proportion,average_expression
28,B cell,CTSW,0.30196078431372547,2.0768914
108,dendritic cell,CTSW,0.2543507362784471,1.6694633
169,plasmablast,PRF1,0.39461883408071746,2.7523973
129,natural killer cell,PRF1,0.5121212121212121,3.4507987
109,dendritic cell,PRF1,0.17402945113788487,1.1661485
149,alpha-beta T cell,PRF1,0.2257495590828924,1.6368166
189,plasmacytoid dendritic cell,PRF1,0.2972972972972973,2.0721705
89,platelet,PRF1,0.24859392575928008,1.7308465
9,monocyte,PRF1,0.1213936675814981,0.80788195
69,"CD8-positive, alpha-beta T cell",PRF1,0.4154929577464789,2.827285
29,B cell,PRF1,0.24411764705882352,1.688806
49,"CD4-positive, alpha-beta T cell",PRF1,0.241635687732342,1.6295666
110,dendritic cell,JCHAIN,0.02677376171352075,0.17401083
170,plasmablast,JCHAIN,0.4551569506726457,3.1947606
30,B cell,JCHAIN,0.14411764705882352,0.9365063
190,plasmacytoid dendritic cell,JCHAIN,0.0945945945945946,0.6614401
150,alpha-beta T cell,JCHAIN,0.021164021164021163,0.15100451
70,"CD8-positive, alpha-beta T cell",JCHAIN,0.058098591549295774,0.39820305
90,platelet,JCHAIN,0.04161979752530934,0.29053912
50,"CD4-positive, alpha-beta T cell",JCHAIN,0.03345724907063197,0.22235161
10,monocyte,JCHAIN,0.018508601646696567,0.12233381
130,natural killer cell,JCHAIN,0.03939393939393939,0.2750694
31,B cell,MZB1,0.0803921568627451,0.5066488
191,plasmacytoid dendritic cell,MZB1,0.0472972972972973,0.32370797
171,plasmablast,MZB1,0.3071748878923767,2.1304667
51,"CD4-positive, alpha-beta T cell",MZB1,0.013630731102850062,0.087223426
111,dendritic cell,MZB1,0.0107095046854083,0.06469208
71,"CD8-positive, alpha-beta T cell",MZB1,0.018485915492957746,0.12558906
151,alpha-beta T cell,MZB1,0.012345679012345678,0.08780084
91,platelet,MZB1,0.00562429696287964,0.03822404
11,monocyte,MZB1,0.006693888479817926,0.043152563
131,natural killer cell,MZB1,0.024242424242424242,0.15816449
152,alpha-beta T cell,LYZ,0.7566137566137566,5.5632925
192,plasmacytoid dendritic cell,LYZ,0.9864864864864865,7.117605
32,B cell,LYZ,0.9382352941176471,6.620412
132,natural killer cell,LYZ,0.9939393939393939,7.0520787
52,"CD4-positive, alpha-beta T cell",LYZ,0.9591078066914498,6.636709
12,monocyte,LYZ,0.9846375259388178,6.8593087
92,platelet,LYZ,0.9865016872890888,7.092687
112,dendritic cell,LYZ,0.9973226238286479,6.8334446
172,plasmablast,LYZ,0.9708520179372198,6.9780273
72,"CD8-positive, alpha-beta T cell",LYZ,0.9797535211267606,6.94252
73,"CD8-positive, alpha-beta T cell",CST3,0.8838028169014085,6.156551
53,"CD4-positive, alpha-beta T cell",CST3,0.8562577447335812,5.810867
13,monocyte,CST3,0.97463016266149,6.7456756
173,plasmablast,CST3,0.852017937219731,6.030615
153,alpha-beta T cell,CST3,0.5661375661375662,4.118532
113,dendritic cell,CST3,0.9799196787148594,6.6784267
93,platelet,CST3,0.9212598425196851,6.546339
33,B cell,CST3,0.8411764705882353,5.8382564
133,natural killer cell,CST3,0.8757575757575757,6.0967417
193,plasmacytoid dendritic cell,CST3,0.9009009009009009,6.4146824
174,plasmablast,TPM2,0.004484304932735426,0.030432612
14,monocyte,TPM2,0.0032130664703126045,0.020131914
154,alpha-beta T cell,TPM2,0.003527336860670194,0.026554111
34,B cell,TPM2,0.004901960784313725,0.029290214
94,platelet,TPM2,0.00562429696287964,0.034917038
74,"CD8-positive, alpha-beta T cell",TPM2,0.0,0.0
54,"CD4-positive, alpha-beta T cell",TPM2,0.007434944237918215,0.04715908
194,plasmacytoid dendritic cell,TPM2,0.15765765765765766,1.1003711
134,natural killer cell,TPM2,0.0030303030303030303,0.017452555
114,dendritic cell,TPM2,0.00535475234270415,0.033238113
115,dendritic cell,LILRA4,0.00535475234270415,0.03241765
75,"CD8-positive, alpha-beta T cell",LILRA4,0.0008802816901408451,0.0057690744
175,plasmablast,LILRA4,0.0,0.0
195,plasmacytoid dendritic cell,LILRA4,0.13288288288288289,0.9189187
35,B cell,LILRA4,0.008823529411764706,0.054198038
15,monocyte,LILRA4,0.010141241046924158,0.063206464
95,platelet,LILRA4,0.0044994375703037125,0.028486615
155,alpha-beta T cell,LILRA4,0.0,0.0
55,"CD4-positive, alpha-beta T cell",LILRA4,0.0024783147459727386,0.015021508
135,natural killer cell,LILRA4,0.006060606060606061,0.03667573
56,"CD4-positive, alpha-beta T cell",PPBP,0.030978934324659233,0.20601772
136,natural killer cell,PPBP,0.03636363636363636,0.24362867
176,plasmablast,PPBP,0.04035874439461883,0.2811353
36,B cell,PPBP,0.030392156862745098,0.20573488
116,dendritic cell,PPBP,0.030789825970548863,0.20172325
76,"CD8-positive, alpha-beta T cell",PPBP,0.023767605633802816,0.16000299
96,platelet,PPBP,0.3892013498312711,2.7201457
196,plasmacytoid dendritic cell,PPBP,0.01126126126126126,0.07935777
156,alpha-beta T cell,PPBP,0.024691358024691357,0.17616472
16,monocyte,PPBP,0.022993506928174576,0.15323712
77,"CD8-positive, alpha-beta T cell",PF4,0.00528169014084507,0.033262607
177,plasmablast,PF4,0.008968609865470852,0.062037062
97,platelet,PF4,0.26996625421822273,1.8479172
197,plasmacytoid dendritic cell,PF4,0.0022522522522522522,0.015908256
117,dendritic cell,PF4,0.013386880856760375,0.08454922
57,"CD4-positive, alpha-beta T cell",PF4,0.022304832713754646,0.14492318
157,alpha-beta T cell,PF4,0.001763668430335097,0.010929786
137,natural killer cell,PF4,0.015151515151515152,0.095570415
37,B cell,PF4,0.008823529411764706,0.057176106
17,monocyte,PF4,0.009873485507731442,0.06500151
18,monocyte,FCN1,0.9138161858223443,6.2247553
118,dendritic cell,FCN1,0.8487282463186078,5.591381
58,"CD4-positive, alpha-beta T cell",FCN1,0.7360594795539034,4.913086
178,plasmablast,FCN1,0.672645739910314,4.711507
158,alpha-beta T cell,FCN1,0.48148148148148145,3.475979
78,"CD8-positive, alpha-beta T cell",FCN1,0.7359154929577465,5.0617414
198,plasmacytoid dendritic cell,FCN1,0.7207207207207207,5.077889
98,platelet,FCN1,0.7570303712035995,5.303403
38,B cell,FCN1,0.6882352941176471,4.7076564
138,natural killer cell,FCN1,0.7636363636363637,5.250403
99,platelet,CD14,0.5658042744656918,3.9174948
159,alpha-beta T cell,CD14,0.30335097001763667,2.1647203
139,natural killer cell,CD14,0.5242424242424243,3.5182736
119,dendritic cell,CD14,0.606425702811245,3.8636494
79,"CD8-positive, alpha-beta T cell",CD14,0.5149647887323944,3.4801798
59,"CD4-positive, alpha-beta T cell",CD14,0.587360594795539,3.8525429
39,B cell,CD14,0.5009803921568627,3.363319
19,monocyte,CD14,0.7563424593346275,5.0647707
179,plasmablast,CD14,0.484304932735426,3.369364
199,plasmacytoid dendritic cell,CD14,0.46846846846846846,3.2683327
