,group,gene,expression_proportion,average_expression
28,"CD8-positive, alpha-beta T cell",CTSW,0.8701143312948684,5.8731866
108,dendritic cell,CTSW,0.3745704467353952,2.2366693
169,platelet,PRF1,0.3644067796610169,2.419101
129,alpha-beta T cell,PRF1,0.33516483516483514,2.4360752
109,dendritic cell,PRF1,0.15807560137457044,0.95874476
149,plasmacytoid dendritic cell,PRF1,0.366412213740458,2.488468
189,plasmablast,PRF1,0.35,2.2788734
89,natural killer cell,PRF1,0.9616175462645647,6.5129128
9,"CD4-positive, alpha-beta T cell",PRF1,0.163879033620544,1.0746665
69,B cell,PRF1,0.09293680297397769,0.59668803
29,"CD8-positive, alpha-beta T cell",PRF1,0.7912789151821324,5.2848244
49,monocyte,PRF1,0.1213936675814981,0.80788195
110,dendritic cell,JCHAIN,0.03436426116838488,0.20569812
170,platelet,JCHAIN,0.059322033898305086,0.3774093
30,"CD8-positive, alpha-beta T cell",JCHAIN,0.019941504918904545,0.1271543
190,plasmablast,JCHAIN,0.6571428571428571,4.3855014
150,plasmacytoid dendritic cell,JCHAIN,0.4732824427480916,3.0807667
70,B cell,JCHAIN,0.3265505771864606,2.174279
90,natural killer cell,JCHAIN,0.017477724468814255,0.11036664
50,monocyte,JCHAIN,0.018508601646696567,0.12233381
10,"CD4-positive, alpha-beta T cell",JCHAIN,0.013515796587261361,0.08818662
130,alpha-beta T cell,JCHAIN,0.013736263736263736,0.09898222
31,"CD8-positive, alpha-beta T cell",MZB1,0.0249933528316937,0.15218794
191,plasmablast,MZB1,0.5428571428571428,3.5205717
171,platelet,MZB1,0.06779661016949153,0.43024492
51,monocyte,MZB1,0.006693888479817926,0.043152563
111,dendritic cell,MZB1,0.013745704467353952,0.08227013
71,B cell,MZB1,0.2232439835648601,1.461395
151,plasmacytoid dendritic cell,MZB1,0.37404580152671757,2.3591645
91,natural killer cell,MZB1,0.02570253598355038,0.16029708
11,"CD4-positive, alpha-beta T cell",MZB1,0.01013684744044602,0.064683534
131,alpha-beta T cell,MZB1,0.004578754578754579,0.031484462
152,plasmacytoid dendritic cell,LYZ,0.5267175572519084,3.5128803
192,plasmablast,LYZ,0.35714285714285715,2.3568137
32,"CD8-positive, alpha-beta T cell",LYZ,0.3352831693698484,2.199322
132,alpha-beta T cell,LYZ,0.2902930402930403,2.073345
52,monocyte,LYZ,0.9846375259388178,6.8593087
12,"CD4-positive, alpha-beta T cell",LYZ,0.30613279270146987,2.0341163
92,natural killer cell,LYZ,0.33550376970527757,2.193678
112,dendritic cell,LYZ,1.0,6.507546
172,platelet,LYZ,0.5932203389830508,4.020638
72,B cell,LYZ,0.31168068871062415,2.0822382
73,B cell,CST3,0.1586773625513598,1.0529859
53,monocyte,CST3,0.97463016266149,6.7456756
13,"CD4-positive, alpha-beta T cell",CST3,0.14934955228923805,0.9864604
173,platelet,CST3,0.7203389830508474,4.958285
153,plasmacytoid dendritic cell,CST3,0.6259541984732825,4.1760306
113,dendritic cell,CST3,0.9896907216494846,6.5194693
93,natural killer cell,CST3,0.35400959561343387,2.291536
33,"CD8-positive, alpha-beta T cell",CST3,0.2377027386333422,1.5505923
133,alpha-beta T cell,CST3,0.1510989010989011,1.0748318
193,plasmablast,CST3,0.3,1.907648
174,platelet,TPM2,0.0423728813559322,0.28551853
14,"CD4-positive, alpha-beta T cell",TPM2,0.00844737286703835,0.055306245
154,plasmacytoid dendritic cell,TPM2,0.5343511450381679,3.4734633
34,"CD8-positive, alpha-beta T cell",TPM2,0.0035894708854028183,0.022910086
94,natural killer cell,TPM2,0.0054832076764907475,0.034604456
74,B cell,TPM2,0.004695754255527294,0.029713225
54,monocyte,TPM2,0.0032130664703126045,0.020131914
194,plasmablast,TPM2,0.014285714285714285,0.079853386
134,alpha-beta T cell,TPM2,0.004578754578754579,0.032429144
114,dendritic cell,TPM2,0.01718213058419244,0.097587846
115,dendritic cell,LILRA4,0.024054982817869417,0.13944405
75,B cell,LILRA4,0.019956955585991,0.12678148
175,platelet,LILRA4,0.0,0.0
195,plasmablast,LILRA4,0.007142857142857143,0.041964434
35,"CD8-positive, alpha-beta T cell",LILRA4,0.0006647168306301516,0.0041119577
15,"CD4-positive, alpha-beta T cell",LILRA4,0.0006757898293630681,0.0043519614
