,threshold,percentage,acc,f1
unimap,0.84,0.5641721597518418,0.9848797250859107,0.9849358804800169
unimap,0.85,0.5556417215975185,0.9853454291695743,0.9854152366999066
unimap,0.86,0.5473051570376115,0.9854764434998229,0.9855554653196016
unimap,0.87,0.5358666149670415,0.98589001447178,0.9859797969669775
unimap,0.88,0.5248158200853044,0.985962319911341,0.986038798321575
unimap,0.89,0.5135711516091508,0.986409966024915,0.9864796330193778
unimap,0.9,0.5025203567274137,0.9872685185185185,0.9873332929143895
unimap,0.91,0.490306320279178,0.9877421905891657,0.9878327486056202
unimap,0.92,0.47440868553702986,0.9881487535758071,0.9882355059410561
unimap,0.93,0.455990694067468,0.9893707482993197,0.9895389992027293
unimap,0.94,0.43563396665374177,0.9906542056074766,0.990820724386552
unimap,0.95,0.41547111283443194,0.9916005599626692,0.9917601411001545
