,threshold,percentage,acc,f1
unimap,0.43,0.32603118215906846,0.7088377723970944,0.6934224783749565
unimap,0.44,0.3207025853562266,0.7138461538461538,0.6987353236961462
unimap,0.45,0.31715018748766527,0.716241443683883,0.7008965529813593
unimap,0.46,0.3114268798105388,0.7237008871989861,0.7094249227527385
unimap,0.47,0.3070850601934083,0.7300771208226221,0.7152863016451604
unimap,0.48,0.30076968620485495,0.7349081364829396,0.7196978764267218
unimap,0.49,0.295441089402013,0.7421509686038744,0.7271612786691631
unimap,0.5,0.28813893822774816,0.7486301369863013,0.733301055161482
unimap,0.51,0.2814288533649102,0.7580645161290323,0.7433621966469817
unimap,0.52,0.2757055456877837,0.7637795275590551,0.7487088400415267
unimap,0.53,0.27156108150779557,0.7688953488372093,0.7535981172337631
unimap,0.54,0.2654430629563844,0.7754646840148699,0.7601006949274992
unimap,0.55,0.2612985987763963,0.7764350453172205,0.7614263952565323
unimap,0.56,0.2561673574106967,0.7812018489984591,0.7673001298550087
unimap,0.57,0.2539964476021314,0.7816627816627817,0.7676650020932575
unimap,0.58,0.24886520623643182,0.7866772402854877,0.7722863777994321
unimap,0.59,0.24570751924215511,0.7911646586345381,0.7770286411305466
unimap,0.6,0.24116834418788238,0.7986906710310966,0.7854107942289454
unimap,0.61,0.23603710282218276,0.8043478260869565,0.7904856909165753
unimap,0.62,0.23228734951647917,0.8079864061172473,0.7943732136336654
unimap,0.63,0.22715610815077955,0.8132059079061685,0.7997044926576988
unimap,0.64,0.2222222222222222,0.8214920071047958,0.8078361048320457
unimap,0.65,0.21610420367081112,0.8264840182648402,0.8125877210267627
unimap,0.66,0.21294651667653444,0.830398517145505,0.8170495862785027
unimap,0.67,0.20781527531083482,0.8328584995251662,0.8191135893165882
unimap,0.68,0.2050522991908427,0.8325312800769971,0.8192671394220191
unimap,0.69,0.20149990132228143,0.8334965719882468,0.8203959349869002
unimap,0.7,0.19498717189658576,0.8370445344129555,0.8236615823856938
unimap,0.71,0.19163212946516678,0.8372811534500515,0.8237143314433758
unimap,0.72,0.18689559897375171,0.8405491024287223,0.8279392337818746
unimap,0.73,0.18077758042234063,0.8449781659388647,0.8326162427292065
unimap,0.74,0.17505427274521412,0.8444193912063134,0.8315228408565768
unimap,0.75,0.16952832050522992,0.8451688009313155,0.8319545671124156
unimap,0.76,0.164199723702388,0.84375,0.8317711382664117
unimap,0.77,0.1606473258338267,0.8464373464373465,0.8351279172278246
unimap,0.78,0.15610815077955398,0.8520859671302149,0.8405873883165248
unimap,0.79,0.1497927767910006,0.8603425559947299,0.8488010305975481
unimap,0.8,0.14584566804815471,0.8592692828146143,0.8474570664270942
unimap,0.81,0.1407144266824551,0.8611500701262272,0.8499707917070709
unimap,0.82,0.13538582987961317,0.8658892128279884,0.8554234294236417
unimap,0.83,0.1292678113282021,0.8763358778625954,0.865632482827718
unimap,0.84,0.12236037102822182,0.8806451612903226,0.8695176477735252
unimap,0.85,0.11525557529109927,0.8852739726027398,0.8747966653491905
unimap,0.86,0.1111111111111111,0.8880994671403197,0.8773777560678047
unimap,0.87,0.10519044799684231,0.8855534709193246,0.8743127857459283
unimap,0.88,0.09749358594829288,0.888663967611336,0.8768463499246143
unimap,0.89,0.09216498914545096,0.8907922912205567,0.8785502073875582
unimap,0.9,0.08427077165975923,0.892271662763466,0.8804931641042728
unimap,0.91,0.07657390961120979,0.8994845360824743,0.891688015549771
unimap,0.92,0.0674955595026643,0.9093567251461988,0.9028573598903965
unimap,0.93,0.06137754095125321,0.9131832797427653,0.9061739736980895
unimap,0.94,0.05348332346556148,0.922509225092251,0.9164126423872935
unimap,0.95,0.044997039668442866,0.9385964912280702,0.9347953216374268
